SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*O[Si](C)(CCCN1CCCCN1)*,0.969 ,0.621 ,0.219 ,2.921 
*N=P(CCl)(O[Si](C)(C)Oc1ccc(I)cc1)*,1.171 ,0.513 ,0.219 ,2.287 
*C#Cc1c(C)cc(cc1S(=O)(=O)c1ccc(OC)cc1)C[Si](C)(C)*,1.165 ,0.516 ,0.219 ,3.194 
*O[Si](CCC(C)C)(C[Si](C)(C)CCCCC)*,0.903 ,0.666 ,0.219 ,2.736 
*Nc1ccc(cc1)Sc1ccc(cc1)c1ccc(cc1Br)C(=O)*,1.431 ,0.420 ,0.219 ,2.953 
*O[Si](C)(C)C=C(C)C(C)*,0.921 ,0.652 ,0.219 ,2.270 
*c1ccc(cc1)[Si](C)(SCC)c1ccc(cc1)/C=C/c1ccc(s1)*,1.125 ,0.534 ,0.219 ,2.681 
*C(=O)NNC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)*,1.270 ,0.473 ,0.219 ,4.081 
*CC(c1cccc(CO[Si](C)(C)C(C)C)c1)*,0.968 ,0.621 ,0.219 ,1.933 
*c1ccc(cc1)N(c1cccc(C=O)c1)*,1.093 ,0.550 ,0.219 ,2.022 
*/C=C/c1cc(OCCCCCCC)c(c(C)c1C#N)/C=C/c1cc(Br)c(c(Cl)c1Cl)*,1.274 ,0.472 ,0.219 ,4.076 
*Oc1cc(C(C)CCCCC(F)(F)F)c(cc1Br)*,1.321 ,0.455 ,0.219 ,3.552 
*/C=C(\[Si](C)(C#N)CC#N)/*,0.900 ,0.668 ,0.219 ,2.025 
*C=C(C#N)[Si](C)(Cn1ccc(C)c1)*,0.900 ,0.668 ,0.219 ,2.977 
*c1cc(Br)cc(c1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)*,1.454 ,0.413 ,0.219 ,2.697 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(CCOCOc1ccc(Cl)cc1)*,1.109 ,0.542 ,0.219 ,2.526 
*CCN(c1ccccc1C)c1ccc(cc1Br)CSC(=O)c1ccc(c(O)c1)O*,1.438 ,0.418 ,0.219 ,3.579 
*CC(CC)(CN(C)C)CO*,0.995 ,0.604 ,0.219 ,2.255 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccccc1)c1cccc(c1)C(=O)Nc1ccc(cc1)*,1.117 ,0.538 ,0.219 ,4.118 
*O[Si](C)([Si](C)(C)CCC[Si](C)(C)c1ccccc1)*,0.976 ,0.616 ,0.219 ,2.053 
*CC/C=C/c1ccc(c(c2ccccc2)c1)*,1.062 ,0.566 ,0.219 ,3.003 
*CC(C)(Cc1ccccc1)CCC(C)C[Si](C)(C)*,0.972 ,0.618 ,0.219 ,2.897 
*O[Si](C)(CCCCCOc1ccc(c2ccc(C(=O)Oc3ccc(CBr)cc3)cc2)cc1)*,1.298 ,0.463 ,0.219 ,4.424 
*c1ccc(c(C(F)(F)F)c1)S(=O)(=O)c1ccc(cc1C(F)(F)F)n1c(=O)c2cc3c(=O)n(c(=O)c3c(F)c2c1=O)*,1.353 ,0.444 ,0.219 ,4.499 
*CC(CCCCN(C)c1ccccc1)*,0.969 ,0.620 ,0.219 ,2.609 
*O[Si](C)(CCc1cc(C)c(c2ccc(OCC)cc2)cc1OC)*,1.085 ,0.554 ,0.219 ,3.168 
*O[Si](C)(CCc1ccc(COc2ccc(C(c3ccccc3)c3ccccc3)cc2)cc1)*,1.078 ,0.558 ,0.219 ,3.129 
*OC[Si](C)(CCC[Si](C)(C)C)*,0.936 ,0.642 ,0.219 ,1.922 
*CC(O[Si](C)(C)CCCCN(C)c1ccc(C)nc1)*,0.967 ,0.622 ,0.219 ,3.462 
*CC([Si](C)(C)c1ccc(OC)cc1)*,0.974 ,0.617 ,0.219 ,1.669 
*O[Si](C)(C)Oc1cccc(c1)C(=O)Oc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,1.152 ,0.522 ,0.219 ,2.635 
*[Si](CCOc1ccc(Cl)cc1)(Oc1ccc(Br)cc1)*,1.411 ,0.426 ,0.219 ,2.260 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1ccccc1Cl)*,1.127 ,0.534 ,0.219 ,2.639 
*Nc1ccc(c(C)c1)/C=C(\C)/c1ccc(cc1C(C)CCCCCCCCC)*,1.007 ,0.597 ,0.219 ,3.601 
*CC(OC)C(Br)C(C)(C)[Si](c1ccccc1)(c1ccccc1)*,1.154 ,0.521 ,0.219 ,2.404 
*C1C(=CC=C1C(F)(F)F)CC(F)(F)*,1.452 ,0.414 ,0.219 ,2.852 
*[Si](CCCC)(c1cc(C)ccc1OCCBr)*,1.232 ,0.488 ,0.219 ,2.553 
*O[Si](C)(C[Si](C)(C)CCCCCCCC)*,0.916 ,0.656 ,0.219 ,2.754 
*O[Si](C)(C)C[Si](C)(CCCCCCCC)*,0.916 ,0.656 ,0.219 ,2.016 
*Cc1cccc(c1CP(C)(C)OC(C)(C)C)*,1.006 ,0.598 ,0.219 ,2.193 
*O[Si](C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)N(C)C#C[Si](CC)(CCC)*,1.070 ,0.562 ,0.219 ,3.096 
*CC(c1ccc(CO[Si](C)(C)C#N)cc1)*,0.977 ,0.615 ,0.219 ,1.923 
*O[Si](C)(OCc1ccccc1C(C)C)*,1.020 ,0.589 ,0.219 ,2.208 
*OC(COC(C)O[Si](C)(C)C)O[Si](C)(C)C[Si](C)(C)*,0.977 ,0.615 ,0.219 ,2.668 
*O[Si](C)(CCC(O)COc1ccc(/C=C/c2ccc(OCCCCCCCC)cc2)cc1)*,1.018 ,0.590 ,0.219 ,3.971 
*Nc1ccc(cc1)Cc1ccc(cc1)[Si](CSC)(N(CC)CC)*,1.124 ,0.535 ,0.219 ,3.328 
*Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1C)C(=O)c1ccc(c(Br)c1)*,1.426 ,0.422 ,0.219 ,3.215 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)c1ccc(cc1Br)c1ccc(cc1)*,1.431 ,0.420 ,0.219 ,3.479 
*OS(=O)(=O)c1ccc(cc1Br)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)*,1.431 ,0.420 ,0.219 ,2.321 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)Oc1c(C)cc(cc1C(C)C)*,1.037 ,0.580 ,0.219 ,3.008 
*Oc1ccc(cc1)/C(/C)=N/N=C/c1ccc(cc1)[Si](C)(C)O[Si](C)(C)C#Cc1ccccc1*,1.074 ,0.560 ,0.219 ,3.213 
*/C=C/c1ccc(cc1)/C=C/[Si](C)(C)c1ccc(cc1)CCc1ccc(cc1)*,1.072 ,0.561 ,0.219 ,2.607 
*O[Si](C)(C)O[Si](C)(C)c1c(C)cc(cc1Br)c1cc(C)c(cc1Br)*,1.506 ,0.399 ,0.219 ,2.990 
*Sc1ccc(cc1)Cc1ccc(c(Br)c1)NC(=O)c1ccc(cc1C)C(=O)*,1.425 ,0.422 ,0.219 ,3.436 
*O[Si](C)(C)Oc1cccc(c1)C(C)(C)c1ccc(cc1)[Si](C)(C)*,1.050 ,0.572 ,0.219 ,2.785 
*N[Si](C)(CCS(=O)(=O)O[Si](C)(C)C)[Si](C)(CCc1ccccc1)*,1.097 ,0.548 ,0.219 ,2.827 
*C(=O)N(c1c(C)cc(Br)cc1Cl)*,1.438 ,0.418 ,0.219 ,2.098 
*Nc1cc(CCCCCCCCC)c(cc1C(C)CCCCCC)*,1.003 ,0.599 ,0.219 ,3.768 
*Oc1ccc(cc1)Nc1ccc(cc1C)C(=O)Nc1ccc(c(Br)c1)*,1.425 ,0.422 ,0.219 ,3.238 
*Nc1ccc(cc1C)c1cc(Br)c(s1)c1ccc(c(SC)c1)OC(=O)*,1.442 ,0.417 ,0.219 ,3.537 
*CC(C)(C(=O)Oc1ccc(I)cc1C(C)CC)*,1.106 ,0.544 ,0.219 ,2.576 
*c1ccc(cc1)[Si](C)(C)c1cccc(c1)[Si](C)(CC)*,1.064 ,0.565 ,0.219 ,1.879 
*c1ccc(cc1)[Si](C)(CC)c1cccc(c1)[Si](C)(C)*,1.064 ,0.565 ,0.219 ,2.004 
*CCC(c1ccc([Si](C)(C)O[Si](C)(C)CC(C)(C)C)cc1)*,1.002 ,0.600 ,0.219 ,2.862 
*c1cc(c(c2ccccc2)c(C)c1Br)C(=O)c1ccc(OC)c(C#S)c1*,1.428 ,0.421 ,0.219 ,3.286 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)C(=O)*,1.090 ,0.551 ,0.219 ,2.252 
*Oc1ccc(c(Br)c1)OC(=O)c1ccc(cc1)OC(=O)/C=C/c1ccc(cc1)C(=O)*,1.437 ,0.418 ,0.219 ,2.744 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(C(=O)O)cc(c1C)NC(=O)CS*,1.152 ,0.522 ,0.219 ,3.499 
*OP(=O)(Oc1ccc(C#N)cc1)Oc1cccc(C(C)(C)c2ccccc2)c1*,1.100 ,0.547 ,0.219 ,3.182 
*C1=CC=C(C(CCCN(CC)c2ccc(C(O)CN(C)c3ccc(OCCCCCC)cc3)cc2)[Si](C)(C)CO1)*,1.050 ,0.573 ,0.219 ,4.454 
*CC(O)CN(CCCCCCO)*,0.939 ,0.640 ,0.219 ,2.836 
*CC/C=C/C(C(C)C)C=C(Cc1ccccc1)*,0.951 ,0.632 ,0.219 ,3.030 
*C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1C)NC(=O)c1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)*,1.269 ,0.474 ,0.219 ,4.295 
*CCC[Si](Oc1ccc(C(C)(C)c2ccccc2)cc1)(c1ccccc1)*,1.034 ,0.581 ,0.219 ,2.894 
*CC(=O)NCCCCCNS(=O)(=O)*,1.058 ,0.568 ,0.219 ,2.428 
*Oc1ccc(cc1Br)/C=C/c1ccc(cc1)OC=CC(=O)/C=C/c1ccc(cc1)C(=O)*,1.426 ,0.422 ,0.219 ,2.868 
*O[Si](C)(C)c1cccc(c1)C(=O)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)*,1.153 ,0.521 ,0.219 ,2.609 
*Oc1c(F)cc(F)c(c1F)C(F)(F)C(F)(F)*,1.349 ,0.446 ,0.219 ,2.343 
*Cc1cc(CCC(C)CCCC)c(cc1C)C#Cc1cc(CC)c(cc1C)*,1.027 ,0.585 ,0.219 ,3.572 
*C[Si](C#CC)(CCSC)*,1.009 ,0.596 ,0.218 ,2.032 
*c1ccc(cc1)/N=N/c1ccc(cc1)[Si](C)(C)c1ccc(s1)[Si](C)(C)c1ccc(cc1)C(C)(C)c1ccc(cc1)*,1.080 ,0.556 ,0.218 ,2.984 
*OC(OC)CCCCCCCCCCOc1cc(Br)c(cc1OCCCCCCCCCC)*,1.061 ,0.567 ,0.218 ,2.820 
*/C=C/c1ccc(c(SCCCCCCCCCC(F)(F)F)c1)c1cc(OCCCCCCCC)c(cc1C#N)*,1.295 ,0.464 ,0.218 ,4.470 
*CC=CCC(=O)c1ccc(n1S(=O)(=O)N(C=C)CCCCC)*,1.040 ,0.578 ,0.218 ,3.357 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.252 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.137 
*c1cc(CCC(CC)CCCC)c(s1)*,0.947 ,0.635 ,0.218 ,2.918 
*c1cc(CCCC(CC)CCC)c(s1)*,0.947 ,0.635 ,0.218 ,2.938 
*/C=C/c1cc(c(I)c(Br)c1Cl)*,1.437 ,0.418 ,0.218 ,2.214 
*NS(=O)(=O)c1ccc(cc1)CC[Si](C)(C)O[Si](C)(C)c1ccc(cc1)*,1.142 ,0.527 ,0.218 ,2.679 
*/C=C/CC(=CSC)C(C(=O)OC)*,1.044 ,0.576 ,0.218 ,2.236 
*/C(/C#N)=C/c1cc(Br)c(cc1Cl)*,1.441 ,0.417 ,0.218 ,2.057 
*O[Si](C)(CCC#C[Si](C)(C)c1ccccc1)*,0.975 ,0.616 ,0.218 ,1.852 
*O[Si](C)(C)[Si](C)(CCC#Cc1ccccc1)*,0.975 ,0.616 ,0.218 ,2.266 
*C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)N1C(=O)c2ccc(cc2C1=O)*,1.271 ,0.473 ,0.218 ,2.413 
*O[Si](C)(C)CCc1cc([2H])c(c(S(=O)(=O)C)c1)*,1.157 ,0.520 ,0.218 ,3.219 
*Oc1ccc(cc1c1ccc(Br)cc1C)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,1.428 ,0.421 ,0.218 ,3.812 
*OC([2H])=C(C(C)C#N)CC(Oc1ccc(Br)cc1)*,1.208 ,0.498 ,0.218 ,2.858 
*O[Si](C)(CCCCCI)*,0.926 ,0.649 ,0.218 ,2.243 
*CC(O)COc1ccc(cc1)/C=C/c1ccc(cc1)OCCCC(C)O*,1.045 ,0.575 ,0.218 ,2.917 
*N=[PH](Oc1ccc(Br)cc1)(Oc1cccc(O)c1)*,1.467 ,0.410 ,0.218 ,2.342 
*Nc1ccc(n1CCN(CC)c1ccc(c2ccc(C#N)cc2)cc1S(=O)(=O)O)*,1.189 ,0.506 ,0.218 ,4.121 
*Oc1ccc(cc1Br)NC(=O)c1ccc(c(C)c1)OC(=O)c1ccc(cc1)C(=O)*,1.435 ,0.419 ,0.218 ,3.031 
*CCCCOC(=O)CCS(=O)(=O)C*,1.098 ,0.548 ,0.218 ,2.279 
*O[Si](CC)(NCCCSCCC)*,1.019 ,0.590 ,0.218 ,2.497 
*O[Si](C)(C#C[Si](C)(C)c1ccccc1)c1ccc(c(C(C)C)c1)*,1.025 ,0.587 ,0.218 ,2.320 
*/C=C(\C#N)/c1ccc(c(Cl)c1)/C=C/c1cc(Br)c(c(C#N)c1)*,1.431 ,0.420 ,0.218 ,3.486 
*OC(=O)c1ccc(c(Br)c1)C(=O)NCc1ccc(cc1)NC(=O)c1ccc(cc1)*,1.425 ,0.422 ,0.218 ,3.686 
*Oc1cc(S(=O)(=O)c2ccc(OC=COc3ccc(/N=C/c4ccc(OC)cc4)cc3)cc2)c(cc1Br)OC(=O)c1ccc(cc1)C(=O)*,1.412 ,0.426 ,0.218 ,4.007 
*Oc1cc(Br)c(cc1CCCCCC)OC(=O)*,1.290 ,0.466 ,0.218 ,3.323 
*Oc1c(OC)cc(cc1OC)c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)*,1.119 ,0.537 ,0.218 ,3.409 
*Nc1ccc(c(OCC(CC)CCCC)c1)c1ccc(cc1)CN(c1ccc(c2cccnc2)cc1)*,1.078 ,0.558 ,0.218 ,4.487 
*SC(=O)CCCCSCC(=O)OCCCCCCCCC(=O)SCc1ccc(cc1)CO[Si](C)(c1ccc(C#N)cc1)*,1.073 ,0.560 ,0.218 ,4.184 
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)C(=O)*,1.192 ,0.504 ,0.218 ,4.109 
*c1cc(CCCCCCCCCCCCCCCCC(C)(C)C)c(cc1Br)*,0.973 ,0.618 ,0.218 ,3.071 
*O[Si](C)(CC#CC#N)*,0.976 ,0.616 ,0.218 ,1.937 
*/C=C(\C)/[Si](C)(C)[Si](C)([Si](C)(C)C)*,0.896 ,0.671 ,0.218 ,1.828 
*OS(=O)(=O)c1cccc(c1)C(=O)Oc1ccc(cc1Br)c1ccc(cc1)*,1.445 ,0.416 ,0.218 ,2.884 
*C(=O)c1ccccc1[SiH](c1ccccc1)(c1ccccc1)c1ccccc1C(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)*,1.184 ,0.508 ,0.218 ,3.664 
*CCOCCOCCOc1c(OCCCCCCCCCC)cc(c(I)c1Br)/C=C/c1ccc(cc1)O*,1.107 ,0.543 ,0.218 ,3.823 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1Oc1ccc(Br)cc1)c1ccc(cc1)/N=N/c1ccc(cc1)*,1.439 ,0.418 ,0.218 ,3.812 
*[Si](C)(c1ccc(S(=O)(=O)c2ccc(S(=O)(=O)O)c(C)c2)cc1C)*,1.182 ,0.508 ,0.218 ,2.740 
*C1=C(C1OC)c1cc(C#N)c(cc1OCC(C)CCCCCC)*,1.004 ,0.599 ,0.218 ,3.693 
*CC(C#C[Si](C)(C)C)O[Si](C)(CC)*,0.928 ,0.648 ,0.218 ,1.801 
*CCN(C(=O)Oc1c(Cl)cc(F)cc1Br)*,1.437 ,0.418 ,0.218 ,2.526 
*CCN(C(=O)Oc1c(F)cc(Cl)cc1Br)*,1.437 ,0.418 ,0.218 ,2.620 
*O[Si](CCCCC)(NCCCCCC)*,0.941 ,0.639 ,0.218 ,2.262 
*OC(CC(CC)N1CCCCCC1)*,0.954 ,0.630 ,0.218 ,2.634 
*Cc1ccc(c(C)c1Br)C#Cc1ccc(c(OC)c1)c1cc(CCCCCC)c(s1)*,1.251 ,0.481 ,0.218 ,3.724 
*Oc1ccc(cc1)/C=C(\C)/c1ccc(cc1OC)Oc1ccc(cc1CC(C)C)c1cc(CCCCCCCC)c(cc1CCCCCCC)*,0.987 ,0.609 ,0.218 ,4.110 
*CC(O)COC1=CC=C(C(C)(C)c2ccc(OCCCCCCOc3ccc(Br)cc3)cc2)C=C[PH]1*,1.138 ,0.528 ,0.218 ,3.849 
*O[Si](C)(C)CCCC(C=C)*,0.921 ,0.652 ,0.218 ,1.694 
*N=P(N[Si](C)(C)C)(OCC)*,0.994 ,0.605 ,0.218 ,1.764 
*Nc1cc(ccc1C)NC(=O)c1cc(Cl)c(Br)c(c1)N(C)*,1.437 ,0.419 ,0.218 ,3.497 
*CSc1ccc(cc1)CCc1ccc(cc1)N(CC)*,1.138 ,0.528 ,0.218 ,2.944 
*Oc1ccc(cc1)Cc1c(OC)cc(cc1OCCBr)OC(=O)Oc1ccc(c(OC)c1)O*,1.439 ,0.418 ,0.218 ,3.638 
*/C=C/c1cc(OCC(CCCC)CCCCCCCC)c(cc1OCCCCCCCCCCCCCOCCOCCOCCCC)*,0.973 ,0.618 ,0.218 ,4.055 
*c1ccc(cc1)/C=C/c1ccc(cc1)N(CCCC)c1ccc(cc1)/C=C/c1ccc(cc1)C(=C=C=C[Si](C)(C)C)/C=C/c1ccc(cc1)N(CC)CCOc1ccc(cc1)*,1.067 ,0.564 ,0.218 ,4.653 
*O[Si](C)(C)C(O)O[Si](C)(C)O[Si](C)(C)C1COCC(O1)*,0.980 ,0.614 ,0.218 ,2.280 
*/C=C/c1cc(Br)c(cc1OCCCCCC)/N=C/c1cc(OC)c(cc1OCCCCCCCC)*,1.118 ,0.538 ,0.218 ,3.396 
*SSSCC(=O)N(c1cc(Br)cc(Cl)c1C)*,1.444 ,0.416 ,0.218 ,2.848 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.479 
*N=P(OC[Si](C)(C)C)(C(C)OC)*,1.000 ,0.601 ,0.218 ,2.068 
*OC(=O)OCC[Si](C)(C)O[Si](C)(C)COC(=O)NCC(=O)*,1.113 ,0.540 ,0.218 ,3.324 
*[Si](C)(CCc1ccc(Br)cc1c1ccc(N(C)C)cc1)*,1.382 ,0.435 ,0.218 ,3.362 
*Nc1cc(ccc1C)Cc1ccc(c(Br)c1)OC(=O)*,1.422 ,0.423 ,0.218 ,2.810 
*/C=C(\c1ccc(C#Cc2cc(CCCC)cc(CCCCC(CC)CCCC)c2)cc1)/*,0.967 ,0.622 ,0.218 ,4.656 
*Cc1cc(CC)c(cc1C(CC)CCCCCC)*,1.030 ,0.584 ,0.218 ,3.652 
*Oc1cc(Br)c(OC)c(c1C)N(c1ccc(c2ccc(OC)cc2)cc1)*,1.432 ,0.420 ,0.218 ,2.967 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.304 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(=O)*,1.090 ,0.552 ,0.218 ,2.395 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.252 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.137 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.137 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(=O)*,1.090 ,0.552 ,0.218 ,2.137 
*Oc1ccc2c(c1)C(CCCCCC)c1cc(ccc1N2CCCCCCCC)*,1.053 ,0.571 ,0.218 ,3.857 
*c1ccc(cc1)Oc1ccc(cc1)C(C)(C)c1ccc(s1)[Si](C)([Si](C)(C)C)*,1.045 ,0.575 ,0.218 ,3.421 
*CC(c1ccccc1O)C(c1ccc(C)cc1)*,1.031 ,0.583 ,0.218 ,2.782 
*O[Si](C)(Br)*,1.419 ,0.424 ,0.218 ,1.267 
*CC[Si](C)(Oc1ccc(Br)cc1)*,1.387 ,0.434 ,0.218 ,1.578 
*O[Si](C)(CCc1ccc(Br)cc1)*,1.387 ,0.434 ,0.218 ,1.834 
*C=C(C#N)C#C[Si](C)(C)c1ccc(cc1)Sc1ccc(cc1)*,1.115 ,0.539 ,0.218 ,2.248 
*/C=C/c1cc(Br)c(c([2H])c1Cl)*,1.437 ,0.418 ,0.218 ,2.592 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)O[Si](C)(c1ccc(c2ccc(P(C)(C)C)cc2)c(Br)c1Br)*,1.502 ,0.400 ,0.218 ,3.712 
*C#CS(=O)(=O)CCCCC(=O)N*,1.070 ,0.562 ,0.218 ,2.648 
*N=P(OCC(O)OC)(C(OC)O[Si](C)(C)Oc1ccc(Cl)cc1)*,1.158 ,0.519 ,0.218 ,2.603 
*O[Si](C)(C)O[Si](C)(C)C[Si](C)(c1ccccc1)*,1.004 ,0.599 ,0.218 ,1.923 
*Oc1cc(OC)c(c(Br)c1O)N(C#N)*,1.453 ,0.414 ,0.218 ,2.778 
*CCC[Si](C)(C)CC[Si](C)(c1ccnc(OC)c1)*,0.929 ,0.647 ,0.218 ,2.877 
*CCS(c1ccccc1)C1C(=O)N(c2ccc(CCC)cc2)C(=O)C1*,1.105 ,0.544 ,0.218 ,3.671 
*CCCCOP(=O)(OC)Oc1cc(O)c(Br)c(c1)O[Si](O)(CO)*,1.284 ,0.468 ,0.218 ,2.943 
*CC(CC(C)(C)C)CP(=O)(CC)O*,0.902 ,0.667 ,0.218 ,2.626 
*c1ccc(cc1)OCCCCC(C)CC[Si](C)(c1ccc(I)cc1)*,1.069 ,0.562 ,0.218 ,3.246 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(C(C)CCC(F)(F)F)c(c(Cl)c1C#N)*,1.300 ,0.463 ,0.218 ,3.281 
*CCCCOc1ccc(cc1Br)S(=O)(=O)c1cc(OCCCCCC)c(c(Cl)c1Cl)/C=C/c1cc(OCCCCCC)c(cc1N)*,1.214 ,0.495 ,0.218 ,4.237 
*CCCCCNS(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)CNC(=O)CCCCCCCCCCC(=O)S*,1.056 ,0.569 ,0.218 ,4.518 
*Sc1ccc(c(OCCCCCCCCCC)c1)Cc1ccc(cc1C#C)c1ccc(cc1)/C=C/CCC(CCCCCCCC)*,1.002 ,0.600 ,0.218 ,4.379 
*/N=N/c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)*,1.125 ,0.535 ,0.218 ,2.326 
*c1ccc(cc1)/N=N\c1ccc(cc1)N(c1ccccc1)*,1.125 ,0.535 ,0.218 ,1.970 
*O[Si](C)(CCc1ccc(NC(=O)c2ccc(OCC)s2)nc1)*,1.103 ,0.545 ,0.218 ,3.728 
*CC(c1ccc(COC(C)O)c(C)c1)*,1.034 ,0.581 ,0.218 ,2.890 
*/C=C(\C#C[Si](C)(C)O)/*,0.924 ,0.650 ,0.218 ,2.111 
*CC(c1cc(I)ccc1OCCCCCC)*,1.071 ,0.562 ,0.218 ,2.726 
*CC(c1ccc(I)cc1OCCCCCC)*,1.071 ,0.562 ,0.218 ,2.692 
*/C=C/c1cc(OCC(C)CCCC)c(cc1C)/C=C/c1ccc(c(OC)c1)*,1.006 ,0.598 ,0.218 ,3.879 
*c1ccc(c(Br)c1F)*,1.452 ,0.414 ,0.218 ,1.124 
*c1ccc(Br)c(c1F)*,1.452 ,0.414 ,0.218 ,1.063 
*CC#C/C=C(\c1c(C)cc(OC)c(Br)c1Cl)/*,1.433 ,0.420 ,0.218 ,3.244 
*CCc1ccc(cc1)C(C)(C)c1ccc(cc1)C#C[Si](C)(CC)*,1.028 ,0.585 ,0.218 ,3.203 
*N=[PH](CCC)([Si](C)(C)CC)*,0.938 ,0.641 ,0.218 ,1.740 
*OP(=O)c1ccc(c(Br)c1)Oc1ccc(cc1C)C(=O)*,1.438 ,0.418 ,0.218 ,2.312 
*[Si]c1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)*,1.042 ,0.577 ,0.218 ,2.310 
*c1ccc(cc1)C(C)(C)[Si](C)(C)c1ccc(cc1)*,1.042 ,0.577 ,0.218 ,1.744 
*c1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)*,1.042 ,0.577 ,0.218 ,2.315 
*c1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(o1)*,1.042 ,0.577 ,0.218 ,2.569 
*CCSC#CC#CC#C[Si](C)(C)*,1.010 ,0.595 ,0.218 ,2.057 
*/C=C/c1cc(Br)c(c([2H])c1Cl)O*,1.435 ,0.419 ,0.218 ,2.697 
*/C=C/c1cc(OCCCCCCCCCCCC)c(cc1OCC(CCC)CCCCCCCCN)*,0.963 ,0.625 ,0.218 ,4.418 
*O[Si](C)(CC(C)(C)CCCCCC)*,0.895 ,0.672 ,0.218 ,2.749 
*O[Si](C)(CCCCC[SiH](C)CC)*,0.921 ,0.653 ,0.218 ,2.244 
